,gml_id,quelle_daten,idnr,dgpkey,benennung,belegenheit,belegenheit_detail,gesamtanlagennummer,gesamtanlage,nutz_code,nutzung,bezirk,stadtteil,ortsteil,gemarkung,veroeffentl_amtlicher_anzeiger,herrichtung,verwaltungsvermoegen,aktualitaet,flaeche_ha,stand,geometry
0,DE.HH.UP_KLEINGARTENANLAGEN_1,"BUKEA, GEODATENSERVER (ArcSDE)",000041,31860619,307 Gartenverein Broockkamp,Burgunderweg - Engernweg,Burgunderweg - Engernweg,0,,60,Dauerkleingarten,Eimsbüttel,Niendorf,318,307,,,Allgemeines Grundvermögen ohne Erbbaurecht,05.01.2021,2.7,2021-02-16,"MULTIPOLYGON (((564369.123 5942488.61, 564369.062 5942488.398, 564368.728 5942488.445, 564368.669 5942488.454, 564243.167 5942507.325, 564243.117 5942507.332, 564243.1459999999 5942507.429, 564243.191 5942507.577, 564244.648 5942512.361, 564252.422 5942535.824, 564252.425 5942535.834, 564252.552 5942536.218, 564261.123 5942559.924, 564270.3149999999 5942583.422, 564280.209 5942606.881, 564291.454 5942629.842, 564303.485 5942652.204, 564316.08 5942674.317, 564329.24 5942696.096, 564342.764 5942717.252, 564356.8149999999 5942738.171, 564356.817 5942738.173, 564371.446 5942758.78, 564371.449 5942758.784, 564386.606 5942778.934, 564401.927 5942799.237, 564399.96 5942671.268, 564399.96 5942671.262, 564401.681 5942607.614, 564401.681 5942607.607, 564401.397 5942596.193, 564400.532 5942589.166, 564386.8050000001 5942543.115, 564369.123 5942488.61)))"
1,DE.HH.UP_KLEINGARTENANLAGEN_2,"BUKEA, GEODATENSERVER (ArcSDE)",000132,52665042,590 Gartengem. Bachstücken,Bachstücken - Wiesenredder,Bachstücken - Wiesenredder,0,,65,Grün an Kleingärten,Wandsbek,Rahlstedt,526,543,,,Flächen des Bezirks - Stadtgrün,05.01.2021,1.2,2021-02-16,"MULTIPOLYGON (((578515.224 5939260.476, 578515.224 5939260.466, 578515.221 5939259.482, 578515.221 5939259.471, 578515.167 5939243.338, 578514.21 5939243.327, 578513.458 5939240.796, 578511.249 5939237.4, 578507.623 5939234.568, 578504.039 5939232.484, 578496.985 5939229.681, 578490.214 5939228.343, 578466.248 5939228.333, 578454.965 5939229.917, 578441.674 5939233.107, 578428.7879999999 5939237.67, 578420.493 5939241.449, 578409.862 5939246.868, 578398.382 5939249.71, 578376.799 5939249.903, 578359.629 5939249.025, 578344.969 5939247.948, 578336.991 5939247.086, 578329.446 5939247.086, 578310.473 5939247.949, 578299.694 5939249.027, 578291.576 5939249.588, 578267.9449999999 5939249.579, 578260.24 5939249.46, 578232.974 5939247.52, 578213.241 5939245.149, 578207.851 5939244.072, 578202.142 5939244.419, 578194.931 5939245.953, 578189.971 5939248.178, 578190.278 5939252.262, 578187.123 5939256.848, 578176.9790000001 5939280.691, 578164.0870000001 5939297.968, 578159.344 5939302.71, 578157.675 5939308.847, 578157.626 5939309.035, 578179.335 5939308.978, 578195.72 5939308.935, 578225.709 5939308.854, 578230.706 5939308.841, 578255.198 5939308.777, 578284.687 5939308.698, 578318.836 5939308.607, 578339.915 5939308.551, 578339.961 5939308.551, 578345.437 5939308.536, 578350.446 5939308.523, 578354.474 5939308.512, 578450.752 5939308.256, 578470.401 5939308.204, 578470.399 5939308.214, 578468.3199999999 5939313.807, 578448.11 5939368.191, 578420.056 5939443.688, 578409.926 5939470.948, 578400.281 5939496.904, 578450.269 5939520.632, 578462.964 5939526.823, 578470.796 5939530.642, 578470.67 5939524.243, 578470.862 5939517.306, 578471.4399999999 5939515.765, 578471.247 5939512.489, 578467.586 5939507.479, 578467.971 5939504.589, 578466.841 5939504.401, 578464.502 5939504.011, 578464.888 5939501.699, 578463.346 5939501.506, 578463.77 5939498.782, 578464.491 5939494.818, 578466.005 5939486.48, 578466.621 5939484.164, 578489.167 5939487.633, 578487.7120000001 5939496.323, 578482.617 5939526.748, 578478.1850000001 5939526.363, 578477.218 5939533.775, 578484.568 5939537.36, 578504.889 5939426.802, 578510.302 5939381.576, 578513.115 5939361.112, 578515.465 5939332.653, 578515.224 5939260.476), (578506.084 5939375.429, 578507.103 5939376.855, 578507.51 5939378.077, 578505.677 5939388.261, 578500.9939999999 5939415.759, 578497.939 5939432.257, 578494.0699999999 5939456.903, 578493.459 5939461.792, 578493.191 5939463.797, 578489.998 5939485.216, 578467.183 5939481.753, 578470.817 5939457.645, 578474.3100000001 5939434.091, 578477.3639999999 5939411.889, 578480.826 5939387.854, 578481.437 5939383.577, 578483.066 5939379.706, 578486.122 5939376.855, 578488.1580000001 5939376.04, 578504.047 5939375.429, 578506.084 5939375.429), (578505.804 5939278.563, 578502.673 5939278.568, 578490.406 5939278.471, 578478.345 5939278.354, 578475.952 5939278.372, 578459.952 5939278.253, 578445.198 5939278.233, 578430.524 5939278.199, 578415.167 5939278.105, 578400.257 5939278.105, 578385.224 5939278.105, 578370.471 5939278.114, 578356.893 5939278.061, 578355.126 5939277.373, 578355.054 5939277.366, 578355.525 5939256.135, 578416.6360000001 5939255.922, 578420.218 5939248.337, 578460.678 5939237.167, 578499.01 5939237.583, 578506.151 5939241.053, 578506.253 5939258.008, 578505.846 5939277.21, 578505.804 5939278.563), (578476.548 5939381.336, 578476.344 5939387.65, 578473.4939999999 5939417.796, 578471.254 5939432.868, 578468.404 5939451.811, 578467.575 5939456.754, 578465.757 5939469.125, 578449.871 5939510.88, 578408.926 5939494.789, 578427.071 5939445.616, 578441.7169999999 5939405.371, 578448.6409999999 5939386.632, 578451.9 5939381.132, 578455.159 5939379.299, 578476.548 5939381.336), (578478.633 5939366.665, 578452.275 5939366.416, 578463.9889999999 5939330.635, 578467.808 5939318.668, 578469.294 5939313.723, 578473.409 5939301.862, 578450.676 5939302.609, 578447.827 5939302.701, 578418.325 5939303.334, 578388.612 5939303.334, 578354.474 5939303.546, 578354.961 5939281.574, 578371.154 5939281.28, 578384.95 5939281.183, 578399.897 5939281.094, 578416.237 5939281.004, 578428.843 5939281.035, 578445.002 5939281.011, 578460.653 5939281.141, 578473.508 5939281.322, 578490.259 5939281.573, 578501.8199999999 5939281.555, 578505.704 5939281.785, 578505.517 5939287.818, 578505.488 5939310.621, 578505.242 5939345.403, 578490.218 5939345.531, 578484.743 5939350.751, 578478.377 5939350.751, 578478.633 5939366.665), (578339.718 5939291.069, 578339.8419999999 5939302.042, 578310.626 5939302.242, 578257.079 5939303.509, 578218.499 5939303.72, 578181.128 5939304.496, 578181.1850000001 5939304.354, 578199.735 5939256.923, 578266.774 5939257.132, 578309.781 5939256.287, 578339.505 5939255.865, 578339.718 5939291.069)))"
2,DE.HH.UP_KLEINGARTENANLAGEN_3,"BUKEA, GEODATENSERVER (ArcSDE)",000078,59065043,513 Gartenpark Vogelkoje,Steinbeker Weg (Barsbüttel),Steinbeker Weg (Barsbüttel),0,,65,Grün an Kleingärten,,,590,0,,,Flächen des Bezirks - Stadtgrün,05.01.2021,2.1,2021-02-16,"MULTIPOLYGON (((576230.171 5935830.345, 576230.654 5935830.098, 576234.633 5935830.982, 576251.432 5935826.118, 576317.746 5935802.685, 576334.22 5935789.825, 576312.002 5935773.367, 576284.8050000001 5935783.47, 576286.3590000001 5935778.419, 576268.098 5935772.203, 576310.4449999999 5935665.353, 576314.33 5935666.519, 576319.38 5935653.308, 576338.029 5935629.606, 576336.475 5935624.944, 576361.285 5935608.524, 576360.182 5935594.448, 576351.339 5935570.574, 576344.2659999999 5935576.764, 576215.173 5935601.084, 576201.91 5935604.18, 576187.321 5935608.601, 576013.696 5935671.468, 576013.58 5935672.243, 576013.491 5935672.87, 576013.406 5935673.451, 576010.243 5935695.12, 576010.228 5935695.222, 576058.387 5935766.805, 576064.121 5935752.973, 576050.911 5935745.203, 576030.706 5935714.12, 576042.749 5935693.139, 576054.406 5935699.355, 576071.888 5935680.317, 576089.372 5935675.266, 576092.48 5935670.603, 576189.226 5935726.162, 576221.476 5935808.144, 576184.178 5935821.744, 576180.681 5935821.355, 576154.649 5935806.591, 576139.497 5935831.458, 576149.988 5935839.229, 576154.65 5935841.172, 576179.515 5935827.961, 576222.6409999999 5935811.252, 576230.171 5935830.345), (576254.889 5935814.554, 576259.9399999999 5935799.789, 576312.39 5935780.361, 576317.83 5935794.737, 576266.156 5935814.165, 576261.883 5935811.057, 576254.889 5935814.554), (576272.76 5935739.371, 576216.035 5935760.741, 576200.8810000001 5935721.499, 576196.608 5935723.054, 576115.792 5935676.82, 576111.518 5935663.998, 576204.763 5935628.639, 576205.152 5935632.136, 576288.297 5935620.478, 576303.839 5935659.72, 576292.961 5935685.752, 576280.917 5935690.803, 576285.968 5935704.402, 576272.76 5935739.371)))"
3,DE.HH.UP_KLEINGARTENANLAGEN_4,"BUKEA, GEODATENSERVER (ArcSDE)",000084,51465048,566 Eckerkoppel Farmsen,Eckerkoppel,Eckerkoppel,0,,65,Grün an Kleingärten,Wandsbek,Farmsen-Berne,514,545,,,Flächen des Bezirks - Stadtgrün,05.01.2021,0.1,2021-02-16,"MULTIPOLYGON (((573554.226 5939691.476, 573554.23 5939691.473, 573555.514 5939690.411, 573555.518 5939690.408, 573556.1409999999 5939689.893, 573550.481 5939688.855, 573491.639 5939739.328, 573472.362 5939717.01, 573431.273 5939667.556, 573424.366 5939666.753, 573426.406 5939668.849, 573436.7929999999 5939679.922, 573439.0919999999 5939682.426, 573449.0379999999 5939693.897, 573449.101 5939693.971, 573458.923 5939705.549, 573460.339 5939707.252, 573470.0429999999 5939718.928, 573479.373 5939730.558, 573490.128 5939744.412, 573554.226 5939691.476)))"
4,DE.HH.UP_KLEINGARTENANLAGEN_5,"BUKEA, GEODATENSERVER (ArcSDE)",000085,51465048,566 Eckerkoppel Farmsen,Eckerkoppel,Eckerkoppel,0,,65,Grün an Kleingärten,Wandsbek,Farmsen-Berne,514,0,,,Flächen des Bezirks - Stadtgrün,05.01.2021,0.4,2021-02-16,"MULTIPOLYGON (((573679.605 5939612.833, 573676.0060000001 5939613.481, 573672.769 5939617.57, 573672.258 5939623.364, 573643.802 5939620.298, 573645.677 5939604.282, 573661.012 5939605.304, 573661.012 5939608.711, 573664.249 5939608.711, 573664.079 5939610.756, 573667.998 5939611.437, 573678.434 5939608.53, 573676.358 5939600.726, 573676.151 5939599.962, 573676.151 5939599.959, 573676.157 5939599.96, 573673.782 5939593.114, 573669.486 5939586.332, 573667.948 5939580.572, 573663.433 5939563.674, 573660.534 5939559.244, 573656.9620000001 5939558.547, 573649.88 5939594.831, 573649.874 5939594.83, 573649.874 5939594.834, 573635.608 5939592.05, 573630.258 5939620.139, 573628.401 5939620.51, 573615.4 5939619.397, 573613.914 5939626.454, 573594.599 5939637.227, 573593.855 5939639.827, 573543.338 5939629.8, 573543.338 5939626.086, 573540.738 5939626.086, 573539.252 5939628.686, 573448.6189999999 5939609.375, 573444.904 5939608.261, 573435.618 5939604.918, 573372.843 5939573.72, 573368.014 5939570.749, 573362.8149999999 5939566.292, 573360.9570000001 5939562.206, 573360.586 5939559.234, 573360.586 5939554.405, 573369.5 5939556.634, 573372.938 5939540.819, 573370.252 5939540.294, 573377.496 5939503.262, 573364.818 5939500.694, 573358.735 5939531.901, 573354.9080000001 5939551.529, 573351.448 5939569.136, 573351.672 5939569.263, 573439.704 5939612.718, 573442.304 5939613.461, 573540.738 5939634.258, 573593.113 5939644.656, 573589.465 5939662.371, 573592.88 5939659.552, 573634.683 5939625.029, 573634.687 5939625.026, 573684.9570000001 5939631.727, 573684.688 5939630.787, 573684.686 5939630.783, 573683.898 5939628.071, 573682.265 5939622.374, 573681.5699999999 5939619.911, 573681.2340000001 5939618.739, 573681.03 5939617.983, 573679.605 5939612.833)))"
5,DE.HH.UP_KLEINGARTENANLAGEN_6,"BUKEA, GEODATENSERVER (ArcSDE)",000109,51665023,545 Lot uns in Ruh,Leeschenblick,Leeschenblick,0,Seebek - Kleingärten,65,Grün an Kleingärten,Wandsbek,Steilshoop,516,547,,,Flächen des Bezirks - Stadtgrün,05.01.2021,0.1,2021-02-16,"MULTIPOLYGON (((570688.736 5941272.601, 570699.028 5941268.679, 570710.022 5941282.495, 570718.192 5941292.299, 570721.6090000001 5941298.092, 570727.106 5941307.005, 570734.481 5941319.712, 570764.629 5941373.454, 570771.877 5941384.324, 570773.762 5941398.195, 570767.836 5941401.832, 570773.3590000001 5941410.316, 570772.58 5941415.099, 570775.55 5941412.858, 570777.505 5941387.065, 570766.5110000001 5941370.303, 570761.102 5941361.579, 570757.503 5941355.542, 570754.089 5941349.419, 570738.748 5941320.852, 570731.48 5941307.71, 570725.101 5941296.834, 570725.098 5941296.83, 570718.42 5941286.821, 570718.417 5941286.817, 570708.7929999999 5941273.144, 570708.79 5941273.141, 570703.593 5941267.037, 570703.59 5941267.034, 570701.769 5941264.623, 570701.765 5941264.62, 570700.3590000001 5941261.916, 570683.791 5941268.321, 570673.671 5941306.009, 570696.496 5941336.132, 570700.392 5941341.274, 570705.252 5941347.689, 570731.035 5941381.715, 570736.475 5941388.895, 570751.247 5941408.391, 570753.1360000001 5941410.884, 570757.849 5941417.119, 570760.902 5941421.148, 570761.775 5941422.3, 570762.23 5941422.896, 570764.118 5941421.477, 570738.839 5941387.598, 570699.175 5941334.973, 570678.973 5941307.899, 570688.736 5941272.601)))"
6,DE.HH.UP_KLEINGARTENANLAGEN_7,"BUKEA, GEODATENSERVER (ArcSDE)",006023,32161646,346 Wohngartengem. Besthöhe,Försterweg,Försterweg,0,,61,Kleingarten,Eimsbüttel,Stellingen,321,304,,,Allgemeines Grundvermögen ohne Erbbaurecht,05.01.2021,3.1,2021-02-16,"MULTIPOLYGON (((561561.15 5936958.957, 561592.995 5936976.209, 561634.0429999999 5936998.359, 561635.847 5936997.097, 561640.347 5936994.007, 561645.171 5936991.454, 561650.257 5936989.47, 561655.536 5936988.082, 561660.939 5936987.308, 561661.499 5936984.335, 561674.3419999999 5936917.392, 561637.2610000001 5936897.589, 561560.5699999999 5936859.31, 561532.102 5936846.038, 561593.612 5936757.64, 561632.58 5936695.482, 561597.58 5936673.702, 561597.564 5936673.733, 561597.539 5936673.769, 561597.481 5936673.733, 561565.227 5936720.864, 561471.2709999999 5936877.857, 561453.126 5936917.844, 561439.015 5936954.886, 561430.5820000001 5936981.938, 561478.553 5937008.509, 561481.65 5937010.224, 561520.628 5936936.852, 561561.15 5936958.957)))"
7,DE.HH.UP_KLEINGARTENANLAGEN_8,"BUKEA, GEODATENSERVER (ArcSDE)",006024,32161646,150 Bundesbahn Landwirtschaft,Försterweg,Försterweg,0,,61,Kleingarten,Eimsbüttel,Stellingen,321,304,,,Deutsche Bahn,05.01.2021,0.5,2021-02-16,"MULTIPOLYGON (((561716.91 5936529.487, 561716.9399999999 5936529.199, 561713.78 5936534.67, 561711.032 5936535.357, 561701.7070000001 5936547.383, 561689.683 5936560.39, 561665.388 5936587.141, 561650.173 5936601.131, 561630.051 5936618.556, 561625.754 5936620.705, 561624.5159999999 5936622.632, 561624.811 5936623.099, 561597.58 5936673.702, 561632.58 5936695.482, 561652.063 5936664.268, 561679.5159999999 5936607.264, 561692.781 5936570.664, 561716.91 5936529.487)))"
8,DE.HH.UP_KLEINGARTENANLAGEN_9,"BUKEA, GEODATENSERVER (ArcSDE)",000265,13065012,154 Merkenstraße,Reinskamp,Reinskamp,0,,65,Grün an Kleingärten,Hamburg-Mitte,Billstedt,130,116,,,Flächen des Bezirks - Stadtgrün,05.01.2021,0.9,2021-02-16,"MULTIPOLYGON (((574991.742 5933869.505, 574943.233 5933786.536, 574968.898 5933772.577, 574975.427 5933784.059, 574997.264 5933770.55, 575003.343 5933781.131, 575024.731 5933770.099, 575044.769 5933804.545, 575054.451 5933821.431, 575012.125 5933845.521, 575007.847 5933847.547, 575014.376 5933858.129, 574997.041 5933866.459, 574994.339 5933868.035, 574994.852 5933868.988, 575021.3100000001 5933864.59, 575015.502 5933853.176, 575037.791 5933842.819, 575042.969 5933854.526, 575022.7070000001 5933863.532, 575021.806 5933863.757, 575022.3689999999 5933864.414, 575051.12 5933859.635, 575040.042 5933838.316, 575056.477 5933831.787, 575068.678 5933856.717, 575106.285 5933850.466, 575102.2560000001 5933838.862, 575102.254 5933838.857, 575091.349 5933817.442, 575091.346 5933817.435, 575072.956 5933786.54, 575056.111 5933758.538, 575047.2560000001 5933753.9, 574903.7830000001 5933763.113, 574922.545 5933787.656, 574972.553 5933872.694, 574991.742 5933869.505)))"
9,DE.HH.UP_KLEINGARTENANLAGEN_10,"BUKEA, GEODATENSERVER (ArcSDE)",000269,52665038,588 Gartenfreunde Grunewald,Grunewaldstraße,Grunewaldstraße,0,,65,Grün an Kleingärten,Wandsbek,Rahlstedt,526,544,,,Bund,05.01.2021,1.2,2021-02-16,"MULTIPOLYGON (((575995.968 5937768.567, 575945.379 5937746.457, 575940.04 5937743.41, 575929.53 5937734.608, 575916.9620000001 5937722.148, 575913.013 5937717.019, 575913.01 5937717.012, 575910.878 5937711.061, 575910.876 5937711.055, 575914.635 5937699.986, 575948.37 5937636.573, 575992.279 5937554.022, 575976.265 5937547.928, 575865.152 5937524.794, 575863.536 5937524.462, 575863.411 5937547.288, 575864.094 5937547.288, 575872.97 5937549.745, 575878.297 5937551.657, 575868.465 5937579.653, 575853.306 5937574.874, 575856.4449999999 5937531.856, 575858.22 5937532.129, 575858.3370000001 5937523.395, 575849.223 5937521.525, 575845.847 5937578.702, 575843.95 5937610.825, 575858.593 5937698.675, 575860.022 5937707.262, 575862.6580000001 5937723.063, 575862.659 5937723.067, 575845.147 5937802.292, 575863.874 5937808.583, 575901.154 5937821.103, 575948.1629999999 5937836.892, 575950.965 5937837.834, 575960.639 5937835.116, 575995.968 5937768.567), (575987.846 5937774.221, 575969.039 5937812.684, 575958.473 5937831.282, 575958.297 5937831.378, 575865.176 5937801.585, 575865.273 5937801.066, 575870.7659999999 5937779.299, 575871.611 5937774.861, 575889.573 5937731.537, 575987.846 5937774.221), (575891.839 5937712.864, 575862.0060000001 5937700.08, 575861.683 5937699.947, 575858.399 5937676.148, 575853.152 5937647.627, 575852.1679999999 5937627.302, 575855.446 5937628.941, 575855.446 5937623.04, 575854.79 5937620.089, 575854.4620000001 5937609.271, 575856.1 5937587.962, 575860.92 5937584.519, 575861.345 5937584.683, 575870.525 5937588.945, 575883.964 5937546.981, 575952.811 5937567.304, 575941.338 5937616.807, 575891.839 5937712.864)))"
10,DE.HH.UP_KLEINGARTENANLAGEN_11,"BUKEA, GEODATENSERVER (ArcSDE)",000206,12965027,132 Falkenberg,Legienstraße - Querkamp,Legienstraße - Querkamp,0,,65,Grün an Kleingärten,Hamburg-Mitte,Horn,129,0,,,Flächen des Bezirks - Stadtgrün,05.01.2021,0.1,2021-02-16,"MULTIPOLYGON (((573202.149 5934565.712, 573172.094 5934504.357, 573171.843 5934503.844, 573171.5159999999 5934503.177, 573170.298 5934500.691, 573169.969 5934500.019, 573154.777 5934504.724, 573157.1459999999 5934511.381, 573157.899 5934513.412, 573160.562 5934521.936, 573161.921 5934531.785, 573162.0699999999 5934532.862, 573162.034 5934535.276, 573161.976 5934539.197, 573161.9080000001 5934543.751, 573160.6949999999 5934546.767, 573157.0870000001 5934548.768, 573158.045 5934552.06, 573168.3419999999 5934549.146, 573166.906 5934543.638, 573165.948 5934539.328, 573165.469 5934536.215, 573164.75 5934530.228, 573164.5110000001 5934524.242, 573162.355 5934515.861, 573161.1580000001 5934510.353, 573161.397 5934508.198, 573163.313 5934507.24, 573165.3 5934506.346, 573168.286 5934505.472, 573179.117 5934528.313, 573184.385 5934538.61, 573187.977 5934546.033, 573194.443 5934556.569, 573200.9080000001 5934567.585, 573207.134 5934590.812, 573213.444 5934588.771, 573212.867 5934587.594, 573205.031 5934571.596, 573202.613 5934566.659, 573202.149 5934565.712)))"
11,DE.HH.UP_KLEINGARTENANLAGEN_12,"BUKEA, GEODATENSERVER (ArcSDE)",000211,51465051,569 Farmsen Tegelweg,Eckerkoppel - Ebeersreye,Eckerkoppel - Ebeersreye,0,,65,Grün an Kleingärten,Wandsbek,Farmsen-Berne,514,545,,,Allgemeines Grundvermögen ohne Erbbaurecht,05.01.2021,0.0,2021-02-16,"MULTIPOLYGON (((573614.572 5939097.712, 573607.074 5939097.67, 573609.828 5939104.706, 573614.572 5939097.719, 573614.572 5939097.712)))"
12,DE.HH.UP_KLEINGARTENANLAGEN_13,"BUKEA, GEODATENSERVER (ArcSDE)",000227,13065015,154 Merkenstraße,Hegenredder,Hegenredder,0,,65,Grün an Kleingärten,Hamburg-Mitte,Billstedt,130,116,,,Flächen des Bezirks - Stadtgrün,05.01.2021,0.0,2021-02-16,"MULTIPOLYGON (((576287.947 5934023.962, 576270.279 5934003.348, 576271.181 5934024.701, 576287.947 5934023.962)))"
13,DE.HH.UP_KLEINGARTENANLAGEN_14,"BUKEA, GEODATENSERVER (ArcSDE)",000228,13065015,154 Merkenstraße,Hegenredder,Hegenredder,0,,65,Grün an Kleingärten,Hamburg-Mitte,Billstedt,130,116,,,Flächen des Bezirks - Stadtgrün,05.01.2021,0.1,2021-02-16,"MULTIPOLYGON (((576312.836 5934053, 576292.488 5934029.26, 576293.651 5934048.094, 576236.399 5934052.711, 576235.781 5934028.7, 576235.775 5934028.394, 576236.399 5934028.394, 576255.791 5934026.548, 576254.867 5934001.308, 576267.759 5934000.409, 576257.236 5933988.13, 576256.853 5933988.763, 576237.6090000001 5934022.497, 576234.606 5934028.114, 576234.4570000001 5934028.394, 576227.485 5934041.434, 576224.515 5934049.407, 576222.762 5934058.802, 576312.836 5934053)))"
14,DE.HH.UP_KLEINGARTENANLAGEN_15,"BUKEA, GEODATENSERVER (ArcSDE)",005486,61560999,,Hans-Stoll-Straße,Hans-Stoll-Straße,0,,60,Dauerkleingarten,Bergedorf,Neuallermöhe,615,0,,,Flächen des Bezirks - Stadtgrün,05.01.2021,0.9,2021-02-16,"MULTIPOLYGON (((575945.147 5927552.392, 575935.797 5927543.665, 575940.16 5927538.678, 575922.083 5927519.354, 575937.667 5927498.161, 575928.9399999999 5927469.487, 575945.147 5927445.176, 575945.147 5927414.009, 575928.317 5927402.165, 575917.096 5927383.465, 575895.903 5927407.152, 575894.032 5927423.359, 575830.451 5927460.76, 575923.33 5927552.392, 575945.147 5927552.392)))"
15,DE.HH.UP_KLEINGARTENANLAGEN_16,"BUKEA, GEODATENSERVER (ArcSDE)",000241,43265019,454 Gartenfreunde Kortenkamp,Willersweg - Gehlengraben,Willersweg - Gehlengraben,0,,65,Grün an Kleingärten,Hamburg-Nord,Langenhorn,432,0,,,Flächen des Bezirks - Stadtgrün,05.01.2021,0.6,2021-02-16,"MULTIPOLYGON (((567782.245 5945014.42, 567787.254 5944983.146, 567794.387 5944924.664, 567797.474 5944899.356, 567778.851 5944898.782, 567745.5209999999 5944897.755, 567745.437 5944900.513, 567745.362 5944903.026, 567745.3370000001 5944903.025, 567745.331 5944903.224, 567712.026 5944902.159, 567711.7879999999 5944910.021, 567711.594 5944916.462, 567711.545 5944916.468, 567711.541 5944916.632, 567678.11 5944921.031, 567644.512 5944925.452, 567610.953 5944929.868, 567566.34 5944935.739, 567568.062 5944948.747, 567577.257 5944950.023, 567586.411 5944951.562, 567587.806 5944951.821, 567587.932 5944951.844, 567589.39 5944952.121, 567589.452 5944952.133, 567590.971 5944952.429, 567591.777 5944947.429, 567595.772 5944945.432, 567600.236 5944944.61, 567599.884 5944939.675, 567648.993 5944933.331, 567649.463 5944936.738, 567650.1679999999 5944937.677, 567651.6949999999 5944938.852, 567653.575 5944940.145, 567651.343 5944943.669, 567652.4 5944948.721, 567606.228 5944954.83, 567605.406 5944950.014, 567596.007 5944951.659, 567595.1899999999 5944953.292, 567609.48 5944956.65, 567623.603 5944960.65, 567637.532 5944965.284, 567651.237 5944970.542, 567780.77 5945023.632, 567782.245 5945014.42), (567650.274 5944958.573, 567658.792 5944939.134, 567660.102 5944934.547, 567659.666 5944932.144, 567662.068 5944929.742, 567665.781 5944929.523, 567681.289 5944927.557, 567698.108 5944925.591, 567713.834 5944923.625, 567730.216 5944921.878, 567747.471 5944920.786, 567764.727 5944919.693, 567769.751 5944920.13, 567787.699 5944923.335, 567786.133 5944939.787, 567782.42 5944975.389, 567779.144 5945007.059, 567778.546 5945012.888, 567650.274 5944958.573)))"
16,DE.HH.UP_KLEINGARTENANLAGEN_17,"BUKEA, GEODATENSERVER (ArcSDE)",000243,43265021,458 Gartenbauverein Heimat-Höpen,Gehlengraben,Gehlengraben,0,,65,Grün an Kleingärten,Hamburg-Nord,Langenhorn,432,420,,,Flächen des Bezirks - Stadtgrün,05.01.2021,0.4,2021-02-16,"MULTIPOLYGON (((567810.472 5944773.252, 567809.377 5944768.653, 567805.991 5944754.305, 567805.034 5944748.025, 567801.777 5944734.817, 567800.329 5944726.855, 567798.338 5944718.893, 567797.252 5944713.284, 567791.823 5944702.608, 567786.214 5944691.028, 567783.268 5944685.291, 567772.161 5944662.023, 567768.345 5944654.391, 567776.693 5944649.145, 567789.8100000001 5944641.274, 567785.517 5944635.074, 567775.5 5944620.526, 567765.482 5944605.5, 567801.973 5944582.844, 567805.312 5944580.936, 567794.579 5944563.526, 567785.822 5944549.14, 567751.502 5944568.093, 567742.7929999999 5944572.902, 567743.029 5944573.331, 567742.821 5944573.445, 567742.874 5944573.544, 567739.0159999999 5944575.652, 567745.05 5944584.341, 567767.642 5944623.692, 567769.683 5944622.089, 567771.14 5944624.713, 567779.303 5944639.724, 567765.748 5944648.469, 567748.257 5944613.49, 567734.265 5944584.487, 567738.929 5944581.28, 567736.095 5944577.248, 567728.167 5944581.579, 567736 5944598.117, 567792.414 5944714.641, 567794.262 5944719.216, 567818.91 5944825.211, 567820.365 5944828.159, 567820.232 5944828.196, 567820.313 5944828.356, 567822.95 5944826.918, 567820.235 5944815.338, 567816.616 5944800.319, 567814.0820000001 5944788.738, 567811.187 5944776.253, 567810.472 5944773.252)))"
